objectid,count_,first_coun,owns,rented_leased,free_family,free_others,communal,other
31,1,NAKURU,48,39,8,5,0,0
10,3,KAKAMEGA,63,29,8,0,0,0
42,1,TRANS-NZOIA,63,28,6,3,0,1
34,1,NYAMIRA,64,25,10,0,0,1
33,2,NAROK,63,25,11,1,1,0
16,2,KISII,65,23,11,1,0,0
27,2,MIGORI,73,22,4,2,0,0
1,2,BARINGO,71,22,5,1,1,0
4,2,BUSIA,64,22,8,6,0,0
13,2,KIAMBU,57,20,5,18,0,0
30,1,NAIROBI,78,19,0,3,0,0
3,2,BUNGOMA,73,19,7,1,0,0
35,1,NYANDARUA,76,18,6,0,0,0
44,1,UASIN-GISHU,74,15,10,1,0,0
5,2,EMBU,70,15,7,2,7,0
26,2,MERU,70,15,11,3,1,0
29,2,MURANGA,67,15,15,3,0,0
36,1,NYERI,68,13,19,0,0,0
15,1,KIRINYAGA,67,13,20,0,0,0
41,2,THARAKA-NITHI,81,12,7,0,0,0
38,2,SIAYA,80,11,5,4,0,0
17,2,KISUMU,78,11,5,5,0,0
32,1,NANDI,77,11,12,1,0,0
6,2,GARISSA,62,11,17,5,0,4
11,2,ELGEYO-MARAKWET,83,10,6,2,0,0
8,1,ISIOLO,85,9,5,1,0,0
20,1,LAIKIPIA,67,9,16,7,0,0
21,1,LAMU,70,7,7,4,10,3
12,2,KERICHO,65,7,28,0,0,0
45,1,VIHIGA,87,6,6,0,0,1
22,1,MACHAKOS,81,6,8,3,0,2
23,1,MAKUENI,74,6,20,1,0,0
47,1,WEST POKOT,72,6,2,1,18,1
2,1,BOMET,65,5,30,1,0,0
19,1,KWALE,37,5,33,18,1,7
40,1,TANA-RIVER,72,4,1,6,8,10
14,2,KILIFI,90,3,5,1,0,0
18,2,KITUI,87,3,6,3,1,0
9,1,KAJIADO,84,2,5,8,1,0
39,1,TAITA-TAVETA,73,2,17,8,0,0
25,2,MARSABIT,76,1,19,3,0,0
24,1,MANDERA,100,0,0,0,0,0
43,1,TURKANA,87,0,7,7,0,0
37,1,SAMBURU,84,0,3,0,13,0
28,1,MOMBASA,74,0,0,26,0,0
7,3,HOMABAY,56,0,44,0,0,0
46,1,WAJIR,0,0,0,0,0,0
